Rank,Name,Revenue,Expenses ,Profit,Tech,Source
80,Nationwide,"$47,376 ","$45,759 ","$1,617.20 ",No,
81,Tyson Foods,"$47,049 ","$44,002 ","$3,047 ",No,
82,Bristol-Myers Squibb,"$46,385 ","$39,391 ","$6,994 ",No,Pharma
83,Nike,"$44,538 ","$38,811 ","$5,727 ",No,
84,Deere,"$44,024 ","$38,061 ","$5,963 ",No,
85,American Express,"$43,663 ","$35,603 ","$8,060 ",No,
86,Abbott Laboratories,"$43,075 ","$36,004 ","$7,071 ",No,
87,StoneX Group,"$42,534.20 ","$42,418 ",$116.30 ,No,Finance
88,Plains GP Holdings,"$42,078 ","$42,018 ",$60 ,No,
89,Enterprise Products Partners,"$40,806.90 ","$36,169 ","$4,637.70 ",No,https://www.enterpriseproducts.com/
90,TIAA,"$40,526.40 ","$36,466 ","$4,060.70 ",No,https://www.tiaa.org/public
91,Oracle,"$40,479 ","$26,733 ","$13,746 ",Yes,
92,Thermo Fisher Scientific,"$39,211 ","$31,486 ","$7,725 ",Yes,https://www.thermofisher.com/us/en/home.html
93,Coca-Cola,"$38,655 ","$28,884 ","$9,771 ",No,
94,General Dynamics,"$38,469 ","$35,212 ","$3,257 ",No,https://www.gd.com/
95,CHS,"$38,448 ","$37,894 ",$554 ,No,
96,USAA,"$37,469.60 ","$34,170 ","$3,300 ",No,
97,Northwestern Mutual,"$36,751.20 ","$35,773 ",$977.80 ,No,
98,Nucor,"$36,483.90 ","$29,656 ","$6,827.50 ",No,
99,Exelon,"$36,347 ","$34,641 ","$1,706 ",No,
100,Massachusetts Mutual Life Insurance,"$35,899.50 ","$35,580 ",$319.30 ,No,
